Disease,Microorganism,cases_1956,cases_1957,cases_1958,cases_1959,cases_1960,cases_1961,cases_1962,cases_1963,cases_1964,cases_1965,cases_1966,cases_1967,cases_1968,cases_1969,cases_1970,cases_1971,cases_1972,cases_1973,cases_1974,cases_1975,cases_1979,cases_1985,cases_1989,cases_1995,cases_1999,cases_2000,cases_2001,cases_2002,cases_2003,cases_2004,cases_2005,cases_2006,cases_2007,cases_2008,cases_2009,cases_2010,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019
Anthrax ,bacterium,38,26,16,12,23,14,9,3,5,7,5,2,3,4,2,5,2,2,2,2,0,,,,,1,23,2,,,,1,1,,1,,1,,,,,,,1,1
"Arboviral diseases, Chikungunya virus disease ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896,247,156,117,192
"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive ",virus,,,,,,,,,,,,,,,,,,,,,,,,,5,3,9,10,14,6,21,8,3,4,3,10,4,15,8,8,6,7,5,6,38
"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
"Arboviral diseases, Jamestown Canyon  virus disease, Neuroinvasive ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,58,25,25
"Arboviral diseases, Jamestown Canyon  virus disease, Non-neuroinvasive ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,17,16,20
"Arboviral diseases, La Crosse  virus disease, Neuroinvasive ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,31,63,83,48
"Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,3,7
"Arboviral diseases, Powassan virus disease, Neuroinvasive ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,7,2,6,8,12,7,12,7,6,21,33,21,39
"Arboviral diseases, Powassan virus disease, Non-neuroinvasive ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,1,1,1,1,,4
"Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive ",virus,,,,,,,,,,,,,,,,,,,,,,,,,4,2,79,28,41,12,7,7,8,8,11,8,4,1,1,6,19,7,6,5,15
"Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,5,1,2,2,2,,4,4,1,5,3,2
"Arboviral diseases, West Nile virus disease, Neuroinvasive ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,2866,1142,1309,1495,1227,689,386,629,486,2872,1267,1347,1455,1308,1425,1657,636
"Arboviral diseases, West Nile virus disease, Non-neuroinvasive ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1691,2744,2403,667,334,392,226,2801,1202,858,720,841,672,989,338
"Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive ",virus,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
"Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive ",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Babesiosis, Total ",protozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,716,1796,1760,2100,1910,2368,2160,2420
"Botulism, Total ",bacterium,17,28,6,20,12,14,10,47,23,19,9,5,7,16,12,25,22,34,28,17,45,241,89,97,154,138,155,118,129,133,135,165,144,145,118,112,153,168,152,161,195,201,177,225,196
Brucellosis ,bacterium,1300,983,924,892,751,636,409,407,411,262,310,240,202,196,183,213,235,218,265,262,215,153,95,98,82,87,136,125,104,114,120,121,131,80,115,115,79,114,99,92,126,127,140,138,165
Campylobacteriosis ,bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54556,60120,67537,70200,71509
"Candida auris, clinical",fungus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175
Carbapenemase-producing carbapenem-resistant Enterobacteriaceae ,bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1483
Chancroid ,bacterium,,,,,,,,,,,,,,,,,,,,,,,,606,143,78,38,67,54,30,17,33,23,25,28,24,8,15,10,6,11,7,7,3,8
Chlamydia trachomatis infection ,bacterium,,,,,,,,,,,,,,,,,,,,,,,,477638,656721,702093,783242,834555,877478,929462,976445,1030911,1108374,1210523,1244180,1307893,1412791,1422976,1401906,1441789,1526658,1598354,1708569,1758668,1808703
Cholera ,bacterium,,,,,,,,,,,,,,,,,,,,,1,,,23,6,5,3,2,2,5,8,9,7,5,10,13,40,17,14,5,5,15,10,14,14
Coccidioidomycosis,fungus,,,,,,,,,,,,,,,,,,,,,,,,,,,3922,4968,4870,6449,6542,8917,8121,7523,12926,,22634,17802,9438,8232,11072,11829,14364,15611,18407
"Cryptosporidiosis, Total ",parasite,,,,,,,,,,,,,,,,,,,,,,,,,2361,3128,3785,3016,3506,3577,5659,6071,11170,9113,7654,8944,9250,7956,9056,8682,9735,13453,11414,12533,13975
Cyclosporiasis ,parasite,,,,,,,,,,,,,,,,,,,,,,,,,56,60,147,156,75,171,543,137,93,139,141,179,151,123,784,398,645,537,1194,3519,4703
"Dengue virus infections, Dengue",virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,251,544,837,680,929,903,437,424,1414
Diphtheria ,bacterium,1568,1211,918,934,918,617,444,314,293,164,209,219,260,241,435,215,152,228,272,307,59,3,3,,1,1,2,1,1,,,,,,,,,1,,1,,,,1,2
"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection ",bacterium,,,,,,,,,,,,,,,,,,,,,,,,,203,,,,,,,,,1009,1161,1761,2575,2389,2782,2800,3656,4151,5762,4008,5655
"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection ",bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,944,740,850,1128,1518,1475,1288,1377,1642,1799,2093
"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection ",bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,10,13,17,31,17,14,22,45,33,43
"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis ",bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,155,104,148,191,220,196,179,200,269,283,185
Giardiasis ,parasite,,,,,,,,,,,,,,,,,,,,,,,,,,,,21206,19709,20636,19733,18953,19417,18908,19399,19811,16747,15178,15106,14554,14485,16310,15193,15548,14860
Gonorrhea ,bacterium,224342,214496,232513,240158,258933,264158,263708,278289,300667,324925,351738,404836,464543,534872,600072,670268,767215,842621,898943,999937,,911419,733151,392848,360076,358995,86379,351852,335104,330132,339593,358366,355991,336742,301174,309341,321849,334826,333004,350062,395216,468514,555608,583405,616392
"Haemophilus influenzae, invasive disease, All ages, all serotypes ",bacterium,,,,,,,,,,,,,,,,,,,,,,,,1180,1309,1398,1597,1743,2013,2085,2304,2436,2541,2886,3022,3151,3539,3418,3792,3541,4138,4895,5548,5573,6143
Hansen's disease (leprosy),bacterium,52,36,39,44,54,63,80,103,97,96,109,81,123,98,129,131,130,146,118,162,185,,163,144,108,91,79,96,95,105,87,66,101,80,103,98,82,82,81,88,89,78,94,90,77
Hantavirus pulmonary syndrome ,virus,,,,,,,,,,,,,,,,,,,,,,,,,33,41,8,19,26,24,26,40,32,18,20,20,23,30,21,32,3,6,2,2,18
Hemolytic uremic syndrome post-diarrheal ,bacterium,,,,,,,,,,,,,,,,,,,,,,,,,181,249,202,216,178,200,221,288,292,330,242,266,290,274,329,250,274,307,338,376,392
"Hepatitis A, B, C",virus,19234,14922,16294,23574,41666,72651,53016,42974,37740,33856,34356,41367,50722,48416,54325,65107,63476,59200,59340,56134,56393,54005,64075,46963,27852,24630,22428,18626,16281,12615,10259,9058,8343,7495,6174,5893,5530,6279,7017,16477,21391,8199,11030,20801,33584
Human immunodeficiency virus diagnoses ,virus,,,,,,,,,,,,,,,,,,,,,,8249,33722,71547,45104,40758,41868,42745,44232,44108,41120,38423,37503,39202,36870,35741,35266,35361,34969,35606,33817,34775,33938,32999,31723
